"","RAB.mean","GAD.mean","GAD.Total.Adj","CRA.mean","FOC.mean","IUS.mean","MAAS.mean","RiskPerception","FinancialSatisfaction","age","sex","edu","Country"
"1",3.83333333333333,2,7,3.66666666666667,2.83333333333333,4.66666666666667,2.8,90,35,37,1,3,"Turkey"
"2",3.83333333333333,2.14285714285714,8,3.16666666666667,2.5,2.33333333333333,3.6,54,67,28,1,2,"Turkey"
"3",4,2.14285714285714,8,3.33333333333333,3.83333333333333,4,4.2,56,5,29,1,2,"Turkey"
"4",3.5,3.85714285714286,20,3,4.33333333333333,5,3.6,53,71,20,1,1,"Turkey"
"5",3.33333333333333,1.85714285714286,6,3,3.66666666666667,3,3.6,60,30,28,2,3,"Turkey"
"6",2,2.14285714285714,8,1.33333333333333,3.5,2.66666666666667,4.6,5,0,23,1,3,"Turkey"
"7",3.5,2.85714285714286,13,3.16666666666667,4.16666666666667,4,3,24,80,23,1,3,"Turkey"
"8",2.83333333333333,2.14285714285714,8,2,3.83333333333333,1.66666666666667,3,0,43,22,1,1,"Turkey"
"9",4,1.28571428571429,2,2.83333333333333,3.16666666666667,2.66666666666667,4.8,70,60,29,1,3,"Turkey"
"10",2.5,2.14285714285714,8,2.83333333333333,2.16666666666667,3,4.2,23,70,23,2,1,"Turkey"
"11",2,1,0,2,3.5,2,5.6,100,100,24,2,3,"Turkey"
"12",3.33333333333333,3.14285714285714,15,2.83333333333333,2.83333333333333,4,3.8,66,0,29,3,3,"Turkey"
"13",3.66666666666667,3.71428571428571,19,3.5,3.33333333333333,4.66666666666667,3,50,0,24,1,3,"Turkey"
"14",3.66666666666667,2,7,3.16666666666667,3.33333333333333,3.33333333333333,2.6,37,42,27,1,3,"Turkey"
"15",3.83333333333333,2.42857142857143,10,3.83333333333333,4.33333333333333,4,3.4,55,45,22,1,1,"Turkey"
"16",4,3,14,3.83333333333333,3.66666666666667,4,2.8,50,37,25,1,3,"Turkey"
"17",3.16666666666667,1.71428571428571,5,2.33333333333333,2.83333333333333,3.33333333333333,3.6,10,31,28,2,3,"Turkey"
"18",3.66666666666667,1.85714285714286,6,2.83333333333333,3.16666666666667,1.33333333333333,4.4,22,14,29,2,3,"Turkey"
"19",3.5,1,0,1.83333333333333,4.66666666666667,2.66666666666667,5.6,22,65,28,2,3,"Turkey"
"20",3.33333333333333,2,7,3.83333333333333,3.83333333333333,3.33333333333333,4,100,80,29,2,3,"Turkey"
"21",3.5,1.85714285714286,6,3.66666666666667,3.66666666666667,3,3.8,13,50,20,1,1,"Turkey"
"22",4,2,7,3.16666666666667,4.33333333333333,5,2.2,90,60,26,1,1,"Turkey"
"23",3,3.57142857142857,18,3.66666666666667,3.33333333333333,3.33333333333333,3.2,82,33,26,1,2,"Turkey"
"24",4,1.85714285714286,6,3.83333333333333,3.66666666666667,4,3.4,30,86,28,1,2,"Turkey"
